site_id,site_name,site_region
S0109,Store 0109 Houston,TX
S0153,Store 0153 Columbus,OH
S0206,Store 0206 Orlando,FL
S0217,Store 0217 Atlanta,GA
S0288,Store 0288 Newark,NJ
S0419,Store 0419 Detroit,MI
S0444,Store 0444 Tampa,FL
S0509,Store 0509 Nashville,TN
S0534,Store 0534 Tucson,AZ
S0588,Store 0588 Omaha,NE
S0614,Store 0614 Charlotte,NC
S0620,Store 0620 Charlotte,NC
S0625,Store 0625 Detroit,MI
S0811,Store 0811 Orlando,FL
S0850,Store 0850 Reno,NV
S0871,Store 0871 Detroit,MI
S1016,Store 1016 Reno,NV
S1049,Store 1049 Portland,OR
S1064,Store 1064 Tampa,FL
S1140,Store 1140 Phoenix,AZ
S1149,Store 1149 Phoenix,AZ
S1184,Store 1184 Newark,NJ
S1204,Store 1204 Portland,OR
S1233,Store 1233 Fresno,CA
S1239,Store 1239 Portland,OR
S1263,Store 1263 Portland,OR
S1269,Store 1269 Chicago,IL
S1390,Store 1390 Tulsa,OK
S1391,Store 1391 Omaha,NE
S1407,Store 1407 Dallas,TX
S1503,Store 1503 Newark,NJ
S1524,Store 1524 Boston,MA
S1589,Store 1589 Boston,MA
S1619,Store 1619 Phoenix,AZ
S1635,Store 1635 Dallas,TX
S1684,Store 1684 Seattle,WA
S1754,Store 1754 Omaha,NE
S1774,Store 1774 Sacramento,CA
S1779,Store 1779 Reno,NV
S1843,Store 1843 Tulsa,OK
S1896,Store 1896 Phoenix,AZ
S1924,Store 1924 Orlando,FL
S1927,Store 1927 Tampa,FL
S1932,Store 1932 Tampa,FL
S1976,Store 1976 Nashville,TN
S2082,Store 2082 Chicago,IL
S2145,Store 2145 Tucson,AZ
S2160,Store 2160 Portland,OR
S2203,Store 2203 Miami,FL
S2366,Store 2366 Atlanta,GA
S2386,Store 2386 Chicago,IL
S2387,Store 2387 Orlando,FL
S2440,Store 2440 Tulsa,OK
S2604,Store 2604 Houston,TX
S2647,Store 2647 Chicago,IL
S2691,Store 2691 Reno,NV
S2715,Store 2715 Tulsa,OK
S2721,Store 2721 Tulsa,OK
S2746,Store 2746 Nashville,TN
S2764,Store 2764 Phoenix,AZ
S2777,Store 2777 Dallas,TX
S2805,Store 2805 Boston,MA
S2903,Store 2903 Nashville,TN
S3027,Store 3027 Kansas City,MO
S3250,Store 3250 Austin,TX
S3357,Store 3357 Houston,TX
S3358,Store 3358 Boise,ID
S3395,Store 3395 Tulsa,OK
S3532,Store 3532 Orlando,FL
S3556,Store 3556 Miami,FL
S3570,Store 3570 Portland,OR
S3583,Store 3583 Detroit,MI
S3627,Store 3627 Detroit,MI
S3682,Store 3682 Tampa,FL
S3693,Store 3693 Tulsa,OK
S3698,Store 3698 Seattle,WA
S3708,Store 3708 Dallas,TX
S3711,Store 3711 Miami,FL
S3757,Store 3757 Seattle,WA
S3781,Store 3781 Austin,TX
S3833,Store 3833 Seattle,WA
S3850,Store 3850 Atlanta,GA
S3852,Store 3852 Reno,NV
S3870,Store 3870 Reno,NV
S3911,Store 3911 Chicago,IL
S3914,Store 3914 Denver,CO
S4023,Store 4023 Portland,OR
S4046,Store 4046 Denver,CO
S4110,Store 4110 Omaha,NE
S4112,Store 4112 Reno,NV
S4140,Store 4140 Nashville,TN
S4161,Store 4161 Newark,NJ
S4219,Store 4219 Denver,CO
S4404,Store 4404 Detroit,MI
S4415,Store 4415 Tucson,AZ
S4433,Store 4433 Tampa,FL
S4439,Store 4439 Denver,CO
S4442,Store 4442 Tampa,FL
S4471,Store 4471 Dallas,TX
S4474,Store 4474 Charlotte,NC
S4486,Store 4486 Omaha,NE
S4522,Store 4522 Nashville,TN
S4606,Store 4606 Dallas,TX
S4652,Store 4652 Omaha,NE
S4654,Store 4654 Sacramento,CA
S4657,Store 4657 Dallas,TX
S4841,Store 4841 Dallas,TX
S4903,Store 4903 Charlotte,NC
S4908,Store 4908 Detroit,MI
S4989,Store 4989 Columbus,OH
S5138,Store 5138 Tulsa,OK
S5207,Store 5207 Columbus,OH
S5255,Store 5255 Miami,FL
S5268,Store 5268 Dallas,TX
S5410,Store 5410 Columbus,OH
S5413,Store 5413 Houston,TX
S5513,Store 5513 Tulsa,OK
S5614,Store 5614 Miami,FL
S5639,Store 5639 Houston,TX
S5673,Store 5673 Raleigh,NC
S5674,Store 5674 Houston,TX
S5735,Store 5735 Newark,NJ
S5920,Store 5920 Tulsa,OK
S5981,Store 5981 Orlando,FL
S6025,Store 6025 Seattle,WA
