freezer_id,freezer_type,site_id,maintenance_priority,inventory_value_band
FZ-0109-01,dairy_case,S0109,medium,low
FZ-0109-02,walk_in_freezer,S0109,low,high
FZ-0109-03,dairy_case,S0109,high,medium
FZ-0109-04,walk_in_cooler,S0109,medium,medium
FZ-0153-01,walk_in_freezer,S0153,low,medium
FZ-0153-02,walk_in_freezer,S0153,low,medium
FZ-0206-01,reach_in_freezer,S0206,low,medium
FZ-0206-02,walk_in_freezer,S0206,medium,low
FZ-0217-01,reach_in_freezer,S0217,medium,low
FZ-0288-01,display_freezer,S0288,low,medium
FZ-0419-01,walk_in_freezer,S0419,low,low
FZ-0419-02,reach_in_freezer,S0419,medium,low
FZ-0444-01,walk_in_cooler,S0444,high,low
FZ-0444-02,walk_in_freezer,S0444,low,medium
FZ-0444-03,dairy_case,S0444,low,medium
FZ-0444-04,walk_in_cooler,S0444,medium,high
FZ-0509-01,dairy_case,S0509,low,low
FZ-0509-02,walk_in_freezer,S0509,low,medium
FZ-0534-01,display_freezer,S0534,low,medium
FZ-0588-01,walk_in_cooler,S0588,low,medium
FZ-0588-02,walk_in_cooler,S0588,low,high
FZ-0588-03,dairy_case,S0588,low,low
FZ-0588-04,reach_in_freezer,S0588,medium,high
FZ-0614-01,reach_in_freezer,S0614,medium,low
FZ-0614-02,walk_in_cooler,S0614,medium,low
FZ-0614-03,walk_in_cooler,S0614,high,medium
FZ-0620-01,walk_in_freezer,S0620,high,high
FZ-0620-02,reach_in_freezer,S0620,low,low
FZ-0620-03,display_freezer,S0620,low,high
FZ-0620-04,walk_in_cooler,S0620,low,high
FZ-0625-01,display_freezer,S0625,high,high
FZ-0625-02,reach_in_freezer,S0625,medium,high
FZ-0811-01,reach_in_freezer,S0811,high,medium
FZ-0811-02,reach_in_freezer,S0811,low,high
FZ-0850-01,reach_in_freezer,S0850,high,high
FZ-0871-01,walk_in_freezer,S0871,high,low
FZ-0871-02,reach_in_freezer,S0871,medium,low
FZ-1016-01,walk_in_freezer,S1016,high,low
FZ-1016-02,walk_in_freezer,S1016,medium,low
FZ-1049-01,dairy_case,S1049,medium,low
FZ-1049-02,walk_in_freezer,S1049,high,low
FZ-1049-03,walk_in_cooler,S1049,low,high
FZ-1064-01,walk_in_cooler,S1064,medium,medium
FZ-1064-02,walk_in_cooler,S1064,low,low
FZ-1140-01,walk_in_cooler,S1140,low,medium
FZ-1140-02,reach_in_freezer,S1140,medium,medium
FZ-1140-03,walk_in_cooler,S1140,low,high
FZ-1149-01,reach_in_freezer,S1149,low,low
FZ-1149-02,walk_in_freezer,S1149,low,medium
FZ-1184-01,walk_in_cooler,S1184,low,low
FZ-1184-02,reach_in_freezer,S1184,medium,high
FZ-1204-01,display_freezer,S1204,low,low
FZ-1233-01,walk_in_freezer,S1233,low,low
FZ-1233-02,walk_in_freezer,S1233,medium,low
FZ-1233-03,dairy_case,S1233,medium,medium
FZ-1239-01,walk_in_freezer,S1239,high,medium
FZ-1263-01,dairy_case,S1263,medium,medium
FZ-1269-01,reach_in_freezer,S1269,low,low
FZ-1269-02,dairy_case,S1269,low,high
FZ-1390-01,reach_in_freezer,S1390,low,medium
FZ-1390-02,walk_in_freezer,S1390,low,medium
FZ-1390-03,reach_in_freezer,S1390,high,low
FZ-1390-04,walk_in_cooler,S1390,medium,high
FZ-1391-01,walk_in_freezer,S1391,medium,medium
FZ-1391-02,reach_in_freezer,S1391,high,high
FZ-1407-01,reach_in_freezer,S1407,medium,medium
FZ-1407-02,walk_in_cooler,S1407,high,low
FZ-1407-03,walk_in_freezer,S1407,medium,low
FZ-1503-01,walk_in_freezer,S1503,low,low
FZ-1524-01,reach_in_freezer,S1524,medium,low
FZ-1524-02,walk_in_freezer,S1524,medium,high
FZ-1524-03,reach_in_freezer,S1524,medium,high
FZ-1589-01,walk_in_cooler,S1589,medium,medium
FZ-1589-02,dairy_case,S1589,low,medium
FZ-1589-03,display_freezer,S1589,high,high
FZ-1619-01,walk_in_freezer,S1619,low,low
FZ-1619-02,walk_in_cooler,S1619,medium,low
FZ-1635-01,walk_in_freezer,S1635,medium,medium
FZ-1635-02,dairy_case,S1635,medium,medium
FZ-1684-01,walk_in_freezer,S1684,low,medium
FZ-1684-02,reach_in_freezer,S1684,low,low
FZ-1754-01,dairy_case,S1754,high,medium
FZ-1774-01,dairy_case,S1774,high,medium
FZ-1774-02,reach_in_freezer,S1774,low,high
FZ-1774-03,reach_in_freezer,S1774,medium,high
FZ-1774-04,walk_in_freezer,S1774,medium,medium
FZ-1779-01,reach_in_freezer,S1779,low,low
FZ-1779-02,reach_in_freezer,S1779,medium,high
FZ-1779-03,reach_in_freezer,S1779,medium,low
FZ-1843-01,dairy_case,S1843,high,medium
FZ-1843-02,reach_in_freezer,S1843,low,low
FZ-1843-03,dairy_case,S1843,low,medium
FZ-1896-01,dairy_case,S1896,medium,medium
FZ-1896-02,reach_in_freezer,S1896,low,low
FZ-1896-03,walk_in_cooler,S1896,medium,high
FZ-1924-01,walk_in_freezer,S1924,medium,high
FZ-1924-02,reach_in_freezer,S1924,medium,low
FZ-1924-03,dairy_case,S1924,medium,low
FZ-1927-01,walk_in_freezer,S1927,medium,medium
FZ-1932-01,walk_in_freezer,S1932,high,high
FZ-1932-02,reach_in_freezer,S1932,low,high
FZ-1976-01,reach_in_freezer,S1976,medium,medium
FZ-1976-02,reach_in_freezer,S1976,high,high
FZ-2082-01,walk_in_freezer,S2082,medium,low
FZ-2082-02,dairy_case,S2082,medium,high
FZ-2082-03,dairy_case,S2082,low,high
FZ-2082-04,reach_in_freezer,S2082,high,medium
FZ-2082-05,walk_in_cooler,S2082,low,low
FZ-2145-01,display_freezer,S2145,high,medium
FZ-2160-01,walk_in_freezer,S2160,medium,low
FZ-2203-01,display_freezer,S2203,medium,medium
FZ-2203-02,reach_in_freezer,S2203,low,medium
FZ-2366-01,display_freezer,S2366,low,high
FZ-2366-02,walk_in_freezer,S2366,medium,high
FZ-2366-03,walk_in_cooler,S2366,low,medium
FZ-2366-04,walk_in_cooler,S2366,high,medium
